Year,SeriesCode,Country,Location,Value
2019,SH_SAN_DEFECT,Bulgaria,All areas,0.0
2019,SH_SAN_DEFECT,Bulgaria,Rural,0.0
2019,SH_SAN_DEFECT,Bulgaria,Urban,0.0
2020,SH_SAN_DEFECT,Bulgaria,Rural,0.0
2020,SH_SAN_DEFECT,Bulgaria,All areas,0.0
2020,SH_SAN_DEFECT,Bulgaria,Urban,0.0
2021,SH_SAN_DEFECT,Bulgaria,Urban,0.0
2021,SH_SAN_DEFECT,Bulgaria,All areas,0.0
2021,SH_SAN_DEFECT,Bulgaria,Rural,0.0
2003,SH_SAN_DEFECT,Estonia,Urban,0.0
2004,SH_SAN_DEFECT,Estonia,Rural,0.0
2004,SH_SAN_DEFECT,Estonia,Urban,0.0
2004,SH_SAN_DEFECT,Estonia,All areas,0.0
2005,SH_SAN_DEFECT,Estonia,Rural,0.0
2005,SH_SAN_DEFECT,Estonia,Urban,0.0
2005,SH_SAN_DEFECT,Estonia,All areas,0.0
2006,SH_SAN_DEFECT,Estonia,All areas,0.0
2006,SH_SAN_DEFECT,Estonia,Rural,0.0
2006,SH_SAN_DEFECT,Estonia,Urban,0.0
2007,SH_SAN_DEFECT,Estonia,Rural,0.0
2002,SH_SAN_DEFECT,Azerbaijan,Rural,0.2401
2003,SH_SAN_DEFECT,Azerbaijan,Rural,0.23662
2003,SH_SAN_DEFECT,Azerbaijan,Urban,0.10943
2003,SH_SAN_DEFECT,Azerbaijan,All areas,0.1705
2004,SH_SAN_DEFECT,Azerbaijan,All areas,0.17101
2004,SH_SAN_DEFECT,Azerbaijan,Rural,0.23315
2004,SH_SAN_DEFECT,Azerbaijan,Urban,0.11409
2005,SH_SAN_DEFECT,Azerbaijan,Rural,0.22967
2005,SH_SAN_DEFECT,Azerbaijan,All areas,0.17156
2005,SH_SAN_DEFECT,Azerbaijan,Urban,0.11874
2006,SH_SAN_DEFECT,Azerbaijan,All areas,0.17214
2007,SH_SAN_DEFECT,Estonia,All areas,0.0
2007,SH_SAN_DEFECT,Estonia,Urban,0.0
2008,SH_SAN_DEFECT,Estonia,All areas,0.0
2008,SH_SAN_DEFECT,Estonia,Rural,0.0
2008,SH_SAN_DEFECT,Estonia,Urban,0.0
2009,SH_SAN_DEFECT,Estonia,All areas,0.0
2009,SH_SAN_DEFECT,Estonia,Urban,0.0
2009,SH_SAN_DEFECT,Estonia,Rural,0.0
2010,SH_SAN_DEFECT,Estonia,Urban,0.0
2010,SH_SAN_DEFECT,Estonia,All areas,0.0
2010,SH_SAN_DEFECT,Estonia,Rural,0.0
2022,SH_SAN_DEFECT,Bulgaria,All areas,0.0
2022,SH_SAN_DEFECT,Bulgaria,Rural,0.0
2022,SH_SAN_DEFECT,Bulgaria,Urban,0.0
2000,SH_SAN_DEFECT,Belarus,Urban,0.0
2000,SH_SAN_DEFECT,Belarus,All areas,0.0
2000,SH_SAN_DEFECT,Belarus,Rural,0.0
2001,SH_SAN_DEFECT,Belarus,All areas,0.0
2001,SH_SAN_DEFECT,Belarus,Rural,0.0
2001,SH_SAN_DEFECT,Belarus,Urban,0.0
2002,SH_SAN_DEFECT,Belarus,All areas,0.0
2002,SH_SAN_DEFECT,Belarus,Urban,0.0
2006,SH_SAN_DEFECT,Azerbaijan,Urban,0.1234
2006,SH_SAN_DEFECT,Azerbaijan,Rural,0.2262
2007,SH_SAN_DEFECT,Azerbaijan,Urban,0.12805
2007,SH_SAN_DEFECT,Azerbaijan,All areas,0.17275
2007,SH_SAN_DEFECT,Azerbaijan,Rural,0.22272
2008,SH_SAN_DEFECT,Azerbaijan,All areas,0.17339
2008,SH_SAN_DEFECT,Azerbaijan,Rural,0.21925
2008,SH_SAN_DEFECT,Azerbaijan,Urban,0.1327
2009,SH_SAN_DEFECT,Azerbaijan,All areas,0.17407
2009,SH_SAN_DEFECT,Azerbaijan,Urban,0.13736
2009,SH_SAN_DEFECT,Azerbaijan,Rural,0.21577
2011,SH_SAN_DEFECT,Estonia,Urban,0.0
2011,SH_SAN_DEFECT,Estonia,All areas,0.0
2011,SH_SAN_DEFECT,Estonia,Rural,0.0
2012,SH_SAN_DEFECT,Estonia,All areas,0.0
2012,SH_SAN_DEFECT,Estonia,Urban,0.0
2012,SH_SAN_DEFECT,Estonia,Rural,0.0
2013,SH_SAN_DEFECT,Estonia,All areas,0.0
2013,SH_SAN_DEFECT,Estonia,Rural,0.0
2013,SH_SAN_DEFECT,Estonia,Urban,0.0
2014,SH_SAN_DEFECT,Estonia,All areas,0.0
2014,SH_SAN_DEFECT,Estonia,Rural,0.0
2010,SH_SAN_DEFECT,Azerbaijan,All areas,0.17476
2010,SH_SAN_DEFECT,Azerbaijan,Rural,0.2123
2010,SH_SAN_DEFECT,Azerbaijan,Urban,0.14201
2011,SH_SAN_DEFECT,Azerbaijan,All areas,0.17549
2011,SH_SAN_DEFECT,Azerbaijan,Rural,0.20883
2011,SH_SAN_DEFECT,Azerbaijan,Urban,0.14667
2012,SH_SAN_DEFECT,Azerbaijan,All areas,0.17624
2012,SH_SAN_DEFECT,Azerbaijan,Urban,0.15132
2012,SH_SAN_DEFECT,Azerbaijan,Rural,0.20535
2013,SH_SAN_DEFECT,Azerbaijan,All areas,0.17702
2013,SH_SAN_DEFECT,Azerbaijan,Urban,0.15598
2002,SH_SAN_DEFECT,Belarus,Rural,0.0
2003,SH_SAN_DEFECT,Belarus,Urban,0.0
2003,SH_SAN_DEFECT,Belarus,All areas,0.0
2003,SH_SAN_DEFECT,Belarus,Rural,0.0
2004,SH_SAN_DEFECT,Belarus,All areas,0.0
2004,SH_SAN_DEFECT,Belarus,Rural,0.0
2004,SH_SAN_DEFECT,Belarus,Urban,0.0
2005,SH_SAN_DEFECT,Belarus,All areas,0.0
2005,SH_SAN_DEFECT,Belarus,Urban,0.0
2005,SH_SAN_DEFECT,Belarus,Rural,0.0
2006,SH_SAN_DEFECT,Belarus,Rural,0.0
2006,SH_SAN_DEFECT,Belarus,Urban,0.0
2006,SH_SAN_DEFECT,Belarus,All areas,0.0
2007,SH_SAN_DEFECT,Belarus,All areas,0.0
2007,SH_SAN_DEFECT,Belarus,Rural,0.0
2007,SH_SAN_DEFECT,Belarus,Urban,0.0
2008,SH_SAN_DEFECT,Belarus,All areas,0.0
2008,SH_SAN_DEFECT,Belarus,Rural,0.0
2008,SH_SAN_DEFECT,Belarus,Urban,0.0
2009,SH_SAN_DEFECT,Belarus,All areas,0.0
2009,SH_SAN_DEFECT,Belarus,Urban,0.0
2009,SH_SAN_DEFECT,Belarus,Rural,0.0
2013,SH_SAN_DEFECT,Azerbaijan,Rural,0.20188
2014,SH_SAN_DEFECT,Azerbaijan,Urban,0.16063
2014,SH_SAN_DEFECT,Azerbaijan,Rural,0.1984
2014,SH_SAN_DEFECT,Azerbaijan,All areas,0.17785
2015,SH_SAN_DEFECT,Azerbaijan,Rural,0.19493
2015,SH_SAN_DEFECT,Azerbaijan,Urban,0.0
2015,SH_SAN_DEFECT,Azerbaijan,All areas,0.08827
2016,SH_SAN_DEFECT,Azerbaijan,All areas,0.08768
2016,SH_SAN_DEFECT,Azerbaijan,Rural,0.19493
2016,SH_SAN_DEFECT,Azerbaijan,Urban,0.0
2017,SH_SAN_DEFECT,Azerbaijan,Rural,0.19493
2014,SH_SAN_DEFECT,Estonia,Urban,0.0
2015,SH_SAN_DEFECT,Estonia,All areas,0.0
2015,SH_SAN_DEFECT,Estonia,Rural,0.0
2015,SH_SAN_DEFECT,Estonia,Urban,0.0
2016,SH_SAN_DEFECT,Estonia,All areas,0.0
2016,SH_SAN_DEFECT,Estonia,Rural,0.0
2016,SH_SAN_DEFECT,Estonia,Urban,0.0
2017,SH_SAN_DEFECT,Estonia,All areas,0.0
2017,SH_SAN_DEFECT,Estonia,Urban,0.0
2017,SH_SAN_DEFECT,Estonia,Rural,0.0
2018,SH_SAN_DEFECT,Estonia,All areas,0.0
2017,SH_SAN_DEFECT,Azerbaijan,Urban,0.0
2017,SH_SAN_DEFECT,Azerbaijan,All areas,0.08705
2018,SH_SAN_DEFECT,Azerbaijan,All areas,0.08639
2018,SH_SAN_DEFECT,Azerbaijan,Rural,0.19493
2018,SH_SAN_DEFECT,Azerbaijan,Urban,0.0
2019,SH_SAN_DEFECT,Azerbaijan,All areas,0.08571
2019,SH_SAN_DEFECT,Azerbaijan,Rural,0.19493
2019,SH_SAN_DEFECT,Azerbaijan,Urban,0.0
2020,SH_SAN_DEFECT,Azerbaijan,Urban,0.0
2021,SH_SAN_DEFECT,Azerbaijan,Urban,0.0
2022,SH_SAN_DEFECT,Azerbaijan,Urban,0.0
2010,SH_SAN_DEFECT,Belarus,Urban,0.0
2010,SH_SAN_DEFECT,Belarus,All areas,0.0
2010,SH_SAN_DEFECT,Belarus,Rural,0.0
2011,SH_SAN_DEFECT,Belarus,All areas,0.0
2011,SH_SAN_DEFECT,Belarus,Rural,0.0
2011,SH_SAN_DEFECT,Belarus,Urban,0.0
2012,SH_SAN_DEFECT,Belarus,All areas,0.0
2012,SH_SAN_DEFECT,Belarus,Urban,0.0
2012,SH_SAN_DEFECT,Belarus,Rural,0.0
2013,SH_SAN_DEFECT,Belarus,Urban,0.0
2013,SH_SAN_DEFECT,Belarus,All areas,0.0
2018,SH_SAN_DEFECT,Estonia,Rural,0.0
2018,SH_SAN_DEFECT,Estonia,Urban,0.0
2019,SH_SAN_DEFECT,Estonia,All areas,0.0
2019,SH_SAN_DEFECT,Estonia,Urban,0.0
2019,SH_SAN_DEFECT,Estonia,Rural,0.0
2020,SH_SAN_DEFECT,Estonia,All areas,0.0
2020,SH_SAN_DEFECT,Estonia,Rural,0.0
2020,SH_SAN_DEFECT,Estonia,Urban,0.0
2021,SH_SAN_DEFECT,Estonia,All areas,0.0
2021,SH_SAN_DEFECT,Estonia,Urban,0.0
2021,SH_SAN_DEFECT,Estonia,Rural,0.0
2013,SH_SAN_DEFECT,Belarus,Rural,0.0
2014,SH_SAN_DEFECT,Belarus,All areas,0.0
2014,SH_SAN_DEFECT,Belarus,Rural,0.0
2014,SH_SAN_DEFECT,Belarus,Urban,0.0
2015,SH_SAN_DEFECT,Belarus,Urban,0.0
2015,SH_SAN_DEFECT,Belarus,Rural,0.0
2015,SH_SAN_DEFECT,Belarus,All areas,0.0
2016,SH_SAN_DEFECT,Belarus,Rural,0.0
2016,SH_SAN_DEFECT,Belarus,Urban,0.0
2016,SH_SAN_DEFECT,Belarus,All areas,0.0
2017,SH_SAN_DEFECT,Belarus,All areas,0.0
2017,SH_SAN_DEFECT,Belarus,Rural,0.0
2017,SH_SAN_DEFECT,Belarus,Urban,0.0
2018,SH_SAN_DEFECT,Belarus,All areas,0.0
2018,SH_SAN_DEFECT,Belarus,Rural,0.0
2018,SH_SAN_DEFECT,Belarus,Urban,0.0
2019,SH_SAN_DEFECT,Belarus,All areas,0.0
2019,SH_SAN_DEFECT,Belarus,Rural,0.0
2019,SH_SAN_DEFECT,Belarus,Urban,0.0
2020,SH_SAN_DEFECT,Belarus,Rural,0.0
2020,SH_SAN_DEFECT,Belarus,Urban,0.0
2020,SH_SAN_DEFECT,Belarus,All areas,0.0
2000,SH_SAN_DEFECT,Australia,All areas,0.0
2001,SH_SAN_DEFECT,Australia,All areas,0.0
2002,SH_SAN_DEFECT,Australia,All areas,0.0
2003,SH_SAN_DEFECT,Australia,All areas,0.0
2004,SH_SAN_DEFECT,Australia,All areas,0.0
2005,SH_SAN_DEFECT,Australia,All areas,0.0
2006,SH_SAN_DEFECT,Australia,All areas,0.0
2007,SH_SAN_DEFECT,Australia,All areas,0.0
2008,SH_SAN_DEFECT,Australia,All areas,0.0
2009,SH_SAN_DEFECT,Australia,All areas,0.0
2010,SH_SAN_DEFECT,Australia,All areas,0.0
2022,SH_SAN_DEFECT,Estonia,All areas,0.0
2022,SH_SAN_DEFECT,Estonia,Urban,0.0
2022,SH_SAN_DEFECT,Estonia,Rural,0.0
2000,SH_SAN_DEFECT,Finland,Rural,0.0
2000,SH_SAN_DEFECT,Finland,All areas,0.0
2000,SH_SAN_DEFECT,Finland,Urban,0.0
2001,SH_SAN_DEFECT,Finland,All areas,0.0
2001,SH_SAN_DEFECT,Finland,Rural,0.0
2001,SH_SAN_DEFECT,Finland,Urban,0.0
2002,SH_SAN_DEFECT,Finland,Urban,0.0
2002,SH_SAN_DEFECT,Finland,Rural,0.0
2021,SH_SAN_DEFECT,Belarus,All areas,0.0
2021,SH_SAN_DEFECT,Belarus,Rural,0.0
2021,SH_SAN_DEFECT,Belarus,Urban,0.0
2022,SH_SAN_DEFECT,Belarus,All areas,0.0
2022,SH_SAN_DEFECT,Belarus,Rural,0.0
2022,SH_SAN_DEFECT,Belarus,Urban,0.0
2000,SH_SAN_DEFECT,Canada,Rural,0.0
2000,SH_SAN_DEFECT,Canada,Urban,0.0
2000,SH_SAN_DEFECT,Canada,All areas,0.0
2001,SH_SAN_DEFECT,Canada,All areas,0.0
2001,SH_SAN_DEFECT,Canada,Rural,0.0
2011,SH_SAN_DEFECT,Australia,All areas,0.0
2012,SH_SAN_DEFECT,Australia,All areas,0.0
2013,SH_SAN_DEFECT,Australia,All areas,0.0
2014,SH_SAN_DEFECT,Australia,All areas,0.0
2015,SH_SAN_DEFECT,Australia,All areas,0.0
2016,SH_SAN_DEFECT,Australia,All areas,0.0
2017,SH_SAN_DEFECT,Australia,All areas,0.0
2018,SH_SAN_DEFECT,Australia,All areas,0.0
2019,SH_SAN_DEFECT,Australia,All areas,0.0
2020,SH_SAN_DEFECT,Australia,All areas,0.0
2021,SH_SAN_DEFECT,Australia,All areas,0.0
2002,SH_SAN_DEFECT,Finland,All areas,0.0
2003,SH_SAN_DEFECT,Finland,Rural,0.0
2003,SH_SAN_DEFECT,Finland,All areas,0.0
2003,SH_SAN_DEFECT,Finland,Urban,0.0
2004,SH_SAN_DEFECT,Finland,All areas,0.0
2004,SH_SAN_DEFECT,Finland,Rural,0.0
2004,SH_SAN_DEFECT,Finland,Urban,0.0
2005,SH_SAN_DEFECT,Finland,Rural,0.0
2005,SH_SAN_DEFECT,Finland,Urban,0.0
2005,SH_SAN_DEFECT,Finland,All areas,0.0
2006,SH_SAN_DEFECT,Finland,All areas,0.0
2022,SH_SAN_DEFECT,Australia,All areas,0.0
2000,SH_SAN_DEFECT,Austria,All areas,0.0
2000,SH_SAN_DEFECT,Austria,Rural,0.0
2000,SH_SAN_DEFECT,Austria,Urban,0.0
2001,SH_SAN_DEFECT,Austria,All areas,0.0
2001,SH_SAN_DEFECT,Austria,Rural,0.0
2001,SH_SAN_DEFECT,Austria,Urban,0.0
2002,SH_SAN_DEFECT,Austria,Urban,0.0
2002,SH_SAN_DEFECT,Austria,Rural,0.0
2002,SH_SAN_DEFECT,Austria,All areas,0.0
2003,SH_SAN_DEFECT,Austria,All areas,0.0
2001,SH_SAN_DEFECT,Canada,Urban,0.0
2002,SH_SAN_DEFECT,Canada,All areas,0.0
2002,SH_SAN_DEFECT,Canada,Urban,0.0
2002,SH_SAN_DEFECT,Canada,Rural,0.0
2003,SH_SAN_DEFECT,Canada,All areas,0.0
2003,SH_SAN_DEFECT,Canada,Rural,0.0
2003,SH_SAN_DEFECT,Canada,Urban,0.0
2004,SH_SAN_DEFECT,Canada,All areas,0.0
2004,SH_SAN_DEFECT,Canada,Rural,0.0
2004,SH_SAN_DEFECT,Canada,Urban,0.0
2005,SH_SAN_DEFECT,Canada,All areas,0.0
2005,SH_SAN_DEFECT,Canada,Urban,0.0
2005,SH_SAN_DEFECT,Canada,Rural,0.0
2006,SH_SAN_DEFECT,Canada,All areas,0.0
2006,SH_SAN_DEFECT,Canada,Urban,0.0
2006,SH_SAN_DEFECT,Canada,Rural,0.0
2007,SH_SAN_DEFECT,Canada,All areas,0.0
2007,SH_SAN_DEFECT,Canada,Urban,0.0
2007,SH_SAN_DEFECT,Canada,Rural,0.0
2008,SH_SAN_DEFECT,Canada,Rural,0.0
2008,SH_SAN_DEFECT,Canada,All areas,0.0
2008,SH_SAN_DEFECT,Canada,Urban,0.0
2006,SH_SAN_DEFECT,Finland,Rural,0.0
2006,SH_SAN_DEFECT,Finland,Urban,0.0
2007,SH_SAN_DEFECT,Finland,Urban,0.0
2007,SH_SAN_DEFECT,Finland,All areas,0.0
2007,SH_SAN_DEFECT,Finland,Rural,0.0
2008,SH_SAN_DEFECT,Finland,All areas,0.0
2008,SH_SAN_DEFECT,Finland,Rural,0.0
2008,SH_SAN_DEFECT,Finland,Urban,0.0
2009,SH_SAN_DEFECT,Finland,All areas,0.0
2009,SH_SAN_DEFECT,Finland,Rural,0.0
2009,SH_SAN_DEFECT,Finland,Urban,0.0
2003,SH_SAN_DEFECT,Austria,Rural,0.0
2003,SH_SAN_DEFECT,Austria,Urban,0.0
2004,SH_SAN_DEFECT,Austria,Rural,0.0
2004,SH_SAN_DEFECT,Austria,All areas,0.0
2004,SH_SAN_DEFECT,Austria,Urban,0.0
2005,SH_SAN_DEFECT,Austria,All areas,0.0
2005,SH_SAN_DEFECT,Austria,Rural,0.0
2005,SH_SAN_DEFECT,Austria,Urban,0.0
2006,SH_SAN_DEFECT,Austria,Urban,0.0
2006,SH_SAN_DEFECT,Austria,Rural,0.0
2006,SH_SAN_DEFECT,Austria,All areas,0.0
2010,SH_SAN_DEFECT,Finland,All areas,0.0
2010,SH_SAN_DEFECT,Finland,Rural,0.0
2010,SH_SAN_DEFECT,Finland,Urban,0.0
2011,SH_SAN_DEFECT,Finland,All areas,0.0
2011,SH_SAN_DEFECT,Finland,Rural,0.0
2011,SH_SAN_DEFECT,Finland,Urban,0.0
2012,SH_SAN_DEFECT,Finland,Urban,0.0
2012,SH_SAN_DEFECT,Finland,Rural,0.0
2012,SH_SAN_DEFECT,Finland,All areas,0.0
2013,SH_SAN_DEFECT,Finland,All areas,0.0
2013,SH_SAN_DEFECT,Finland,Rural,0.0
2009,SH_SAN_DEFECT,Canada,Rural,0.0
2009,SH_SAN_DEFECT,Canada,Urban,0.0
2009,SH_SAN_DEFECT,Canada,All areas,0.0
2010,SH_SAN_DEFECT,Canada,All areas,0.0
2010,SH_SAN_DEFECT,Canada,Rural,0.0
2010,SH_SAN_DEFECT,Canada,Urban,0.0
2011,SH_SAN_DEFECT,Canada,Rural,0.0
2011,SH_SAN_DEFECT,Canada,All areas,0.0
2011,SH_SAN_DEFECT,Canada,Urban,0.0
